image, method, kernel, grossDiff
case3,BOX_FILTER_BLUR,27,0
case3,BOX_FILTER_BLUR,29,0
case3,CONTOUR_STRIP,1,34686
case3,CONTOUR_STRIP,3,11176
case3,CONTOUR_STRIP,5,38069
case3,CONTOUR_STRIP,7,8504
case3,CONTOUR_STRIP,9,26542
case3,CONTOUR_STRIP,11,19801
case3,CONTOUR_STRIP,13,12337
case3,CONTOUR_STRIP,15,42793
case3,CONTOUR_STRIP,17,0
case3,CONTOUR_STRIP,19,0
case3,CONTOUR_STRIP,21,0
case3,CONTOUR_STRIP,23,0
case3,CONTOUR_STRIP,25,0
case3,CONTOUR_STRIP,27,0
case3,CONTOUR_STRIP,29,0
